id,english,russian,domain,scenario,level,priority,phrase_type,family,source_id,source_title,tags
ophc2_822aa52f9c49,corneal neovascularization secondary to Acanthamoeba keratitis,"роговичный neovascularization, вторичный по отношению к Acanthamoeba keratitis",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,corneal neovascularization,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,cause
ophc2_b62f792fe86d,endothelial cell loss associated with neurotrophic keratopathy,"endothelial cell потеря, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,endothelial cell loss,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_3cbb7d1a37af,punctate epithelial erosions secondary to exposure keratopathy,"punctate epithelial erosions, вторичный по отношению к exposure keratopathy",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,punctate epithelial erosions,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",cause
ophc2_df021739ffbd,filamentary keratitis associated with neurotrophic keratopathy,"filamentary keratitis, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,filamentary keratitis,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_eba68727e4b4,conjunctival hyperemia secondary to herpes zoster ophthalmicus,"конъюнктивальный hyperemia, вторичный по отношению к herpes zoster ophthalmicus",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,conjunctival hyperemia,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",cause
ophc2_1025957b93a6,tear film instability associated with herpes simplex keratitis,"tear film instability, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,tear film instability,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_5ca6299e6996,tear film instability associated with neurotrophic keratopathy,"tear film instability, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,tear film instability,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_ed0d34e92aa7,corneal graft rejection associated with Acanthamoeba keratitis,"роговичный graft rejection, ассоциированный/связан с Acanthamoeba keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal graft rejection,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_8bdc23490eea,herpes simplex keratitis presenting with reduced visual acuity,herpes simplex keratitis: клиническое проявление — сниженный зрительный acuity,Cornea & Ocular Surface,clinical presentation,C2,B,presentation pattern,herpes simplex keratitis,cornea_kaufman,The Cornea / cornea and ocular surface texts,presentation
ophc2_39934e94589b,response to topical antifungal therapy in exposure keratopathy,ответ на topical antifungal therapy при exposure keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antifungal therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_6a35079f592a,response to corneal collagen cross-linking in fungal keratitis,ответ на роговичный collagen cross-linking при fungal keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,cornea_kaufman,The Cornea / cornea and ocular surface texts,outcome
ophc2_9232f88b4e62,response to endothelial keratoplasty in Acanthamoeba keratitis,ответ на endothelial keratoplasty при Acanthamoeba keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,endothelial keratoplasty,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_384bca739014,keratic precipitates associated with herpes zoster ophthalmicus,"роговичные преципитаты, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,keratic precipitates,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_39a1d8fe5b4e,conjunctival hyperemia associated with herpes simplex keratitis,"конъюнктивальный hyperemia, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,conjunctival hyperemia,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_784448574521,conjunctival hyperemia associated with neurotrophic keratopathy,"конъюнктивальный hyperemia, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,conjunctival hyperemia,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_b4a9c56a5be4,meibomian gland dysfunction associated with bacterial keratitis,"meibomian gland dysfunction, ассоциированный/связан с bacterial keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,meibomian gland dysfunction,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_e3a2d53d7c86,graft endothelial failure secondary to neurotrophic keratopathy,"graft endothelial failure, вторичный по отношению к neurotrophic keratopathy",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,graft endothelial failure,cornea_kaufman,The Cornea / cornea and ocular surface texts,cause
ophc2_07592884053b,response to fortified antibiotic therapy in bacterial keratitis,ответ на fortified antibiotic therapy при bacterial keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,fortified antibiotic therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_e6cc28877c81,response to topical antiviral therapy in Acanthamoeba keratitis,ответ на topical antiviral therapy при Acanthamoeba keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antiviral therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_e6629d13f184,response to lubricating eye drops in herpes zoster ophthalmicus,ответ на lubricating eye drops при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,lubricating eye drops,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_4469b3ca0367,risk of postoperative complications in neurotrophic keratopathy,фактор риска / риск: risk of postoperative complications при neurotrophic keratopathy,Cornea & Ocular Surface,risk stratification,C2,B,risk pattern,neurotrophic keratopathy,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,risk;prognosis
ophc2_27d5964bb6f1,Descemet membrane folds associated with herpes simplex keratitis,"Descemet membrane folds, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,Descemet membrane folds,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_100c4a5edd1a,Descemet membrane folds associated with neurotrophic keratopathy,"Descemet membrane folds, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,Descemet membrane folds,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_ac59282cbccf,corneal neovascularization secondary to neurotrophic keratopathy,"роговичный neovascularization, вторичный по отношению к neurotrophic keratopathy",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,corneal neovascularization,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,cause
ophc2_d4165ee1a62c,endothelial cell loss associated with herpes zoster ophthalmicus,"endothelial cell потеря, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,endothelial cell loss,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_6a4cdfe8fea7,punctate epithelial erosions secondary to Acanthamoeba keratitis,"punctate epithelial erosions, вторичный по отношению к Acanthamoeba keratitis",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,punctate epithelial erosions,cornea_kaufman,The Cornea / cornea and ocular surface texts,cause
ophc2_ac94f13c8f3c,filamentary keratitis associated with herpes zoster ophthalmicus,"filamentary keratitis, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,filamentary keratitis,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_35def0b69197,tear film instability associated with herpes zoster ophthalmicus,"tear film instability, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,tear film instability,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_a94670232148,limbal stem cell deficiency associated with exposure keratopathy,"limbal stem cell deficiency, ассоциированный/связан с exposure keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,limbal stem cell deficiency,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_c3eacc65319a,corneal graft rejection associated with herpes simplex keratitis,"роговичный graft rejection, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal graft rejection,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_8429831743d8,response to fortified antibiotic therapy in exposure keratopathy,ответ на fortified antibiotic therapy при exposure keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,fortified antibiotic therapy,cornea_kaufman,The Cornea / cornea and ocular surface texts,outcome
ophc2_52ab849ad6a0,response to endothelial keratoplasty in herpes simplex keratitis,ответ на endothelial keratoplasty при herpes simplex keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,endothelial keratoplasty,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_3a17f872b438,response to endothelial keratoplasty in neurotrophic keratopathy,ответ на endothelial keratoplasty при neurotrophic keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,endothelial keratoplasty,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_8b4f47c5929c,persistent epithelial defect associated with exposure keratopathy,"персистирующий epithelial дефект, ассоциированный/связан с exposure keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,persistent epithelial defect,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_b137b45bd538,corneal neovascularization associated with Acanthamoeba keratitis,"роговичный neovascularization, ассоциированный/связан с Acanthamoeba keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal neovascularization,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_f6bb195efe3a,conjunctival hyperemia associated with herpes zoster ophthalmicus,"конъюнктивальный hyperemia, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,conjunctival hyperemia,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,association;ddx
ophc2_ecf425a1dbac,limbal stem cell deficiency secondary to herpes simplex keratitis,"limbal stem cell deficiency, вторичный по отношению к herpes simplex keratitis",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,limbal stem cell deficiency,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",cause
ophc2_bdedb095d9b4,graft endothelial failure secondary to herpes zoster ophthalmicus,"graft endothelial failure, вторичный по отношению к herpes zoster ophthalmicus",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,graft endothelial failure,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,cause
ophc2_5f93962e093c,Fuchs endothelial dystrophy presenting with reduced visual acuity,Fuchs endothelial dystrophy: клиническое проявление — сниженный зрительный acuity,Cornea & Ocular Surface,clinical presentation,C2,B,presentation pattern,Fuchs endothelial dystrophy,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,presentation
ophc2_960c96e6eb8a,response to topical antiviral therapy in herpes simplex keratitis,ответ на topical antiviral therapy при herpes simplex keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antiviral therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_56cba9cc4157,response to amniotic membrane transplantation in fungal keratitis,ответ на amniotic membrane transplantation при fungal keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,amniotic membrane transplantation,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_49e2dcf8d9f5,response to corneal collagen cross-linking in bacterial keratitis,ответ на роговичный collagen cross-linking при bacterial keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,cornea_kaufman,The Cornea / cornea and ocular surface texts,outcome
ophc2_3f9d6e9529c7,corneal epithelial defect associated with neurotrophic keratopathy,"эпителиальный дефект роговицы, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal epithelial defect,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_e48d8cbd330a,persistent epithelial defect secondary to herpes simplex keratitis,"персистирующий epithelial дефект, вторичный по отношению к herpes simplex keratitis",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,persistent epithelial defect,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,cause
ophc2_d6f281955191,Descemet membrane folds associated with herpes zoster ophthalmicus,"Descemet membrane folds, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,Descemet membrane folds,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_fba2c49a510f,corneal neovascularization secondary to herpes zoster ophthalmicus,"роговичный neovascularization, вторичный по отношению к herpes zoster ophthalmicus",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,corneal neovascularization,cornea_kaufman,The Cornea / cornea and ocular surface texts,cause
ophc2_11eed53d1727,response to topical antifungal therapy in herpes simplex keratitis,ответ на topical antifungal therapy при herpes simplex keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antifungal therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_0cd223f3fd2c,response to topical antifungal therapy in neurotrophic keratopathy,ответ на topical antifungal therapy при neurotrophic keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antifungal therapy,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,outcome
ophc2_d35a812ddadf,response to bandage contact lens placement in exposure keratopathy,ответ на bandage contact хрусталик placement при exposure keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,bandage contact lens placement,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_45547e5b5de9,response to corneal collagen cross-linking in exposure keratopathy,ответ на роговичный collagen cross-linking при exposure keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_c8f1789c9252,response to penetrating keratoplasty in herpes zoster ophthalmicus,ответ на penetrating keratoplasty при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,penetrating keratoplasty,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,outcome
ophc2_d521f7ca6ecf,persistent epithelial defect associated with Acanthamoeba keratitis,"персистирующий epithelial дефект, ассоциированный/связан с Acanthamoeba keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,persistent epithelial defect,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_74b568bfab25,ocular cicatricial pemphigoid presenting with reduced visual acuity,глазной cicatricial pemphigoid: клиническое проявление — сниженный зрительный acuity,Cornea & Ocular Surface,clinical presentation,C2,B,presentation pattern,ocular cicatricial pemphigoid,cornea_kaufman,The Cornea / cornea and ocular surface texts,presentation
ophc2_b36d59dbf836,post-keratoplasty astigmatism presenting with reduced visual acuity,post-keratoplasty astigmatism: клиническое проявление — сниженный зрительный acuity,Cornea & Ocular Surface,clinical presentation,C2,B,presentation pattern,post-keratoplasty astigmatism,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,presentation
ophc2_484606076299,corneal epithelial defect associated with herpes zoster ophthalmicus,"эпителиальный дефект роговицы, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal epithelial defect,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_ee71cceeb51c,punctate epithelial erosions secondary to herpes zoster ophthalmicus,"punctate epithelial erosions, вторичный по отношению к herpes zoster ophthalmicus",Cornea & Ocular Surface,clinical reasoning,C2,B,causal pattern,punctate epithelial erosions,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,cause
ophc2_29a535a37cb5,meibomian gland dysfunction associated with neurotrophic keratopathy,"meibomian gland dysfunction, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,meibomian gland dysfunction,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_cdf190f31d19,limbal stem cell deficiency associated with herpes simplex keratitis,"limbal stem cell deficiency, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,limbal stem cell deficiency,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_4473fd5c3a19,response to fortified antibiotic therapy in herpes simplex keratitis,ответ на fortified antibiotic therapy при herpes simplex keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,fortified antibiotic therapy,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,outcome
ophc2_7d19f9087695,response to topical antifungal therapy in herpes zoster ophthalmicus,ответ на topical antifungal therapy при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,topical antifungal therapy,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_dda7c45c4aae,response to amniotic membrane transplantation in bacterial keratitis,ответ на amniotic membrane transplantation при bacterial keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,amniotic membrane transplantation,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_0621f957be5b,persistent epithelial defect associated with herpes simplex keratitis,"персистирующий epithelial дефект, ассоциированный/связан с herpes simplex keratitis",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,persistent epithelial defect,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_122ebc412682,corneal neovascularization associated with herpes zoster ophthalmicus,"роговичный neovascularization, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,corneal neovascularization,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_f17148fcf746,punctate epithelial erosions associated with neurotrophic keratopathy,"punctate epithelial erosions, ассоциированный/связан с neurotrophic keratopathy",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,punctate epithelial erosions,cornea_kaufman,The Cornea / cornea and ocular surface texts,association;ddx
ophc2_0b6e87b81fd7,meibomian gland dysfunction associated with herpes zoster ophthalmicus,"meibomian gland dysfunction, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,meibomian gland dysfunction,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,association;ddx
ophc2_190a5dbc7d3c,response to fortified antibiotic therapy in herpes zoster ophthalmicus,ответ на fortified antibiotic therapy при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,fortified antibiotic therapy,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,outcome
ophc2_9b8d8bd3c6f4,response to corneal collagen cross-linking in herpes simplex keratitis,ответ на роговичный collagen cross-linking при herpes simplex keratitis,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_04fdef473886,response to corneal collagen cross-linking in neurotrophic keratopathy,ответ на роговичный collagen cross-linking при neurotrophic keratopathy,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,cornea_kaufman,The Cornea / cornea and ocular surface texts,outcome
ophc2_3cbbb28c3070,persistent epithelial defect associated with herpes zoster ophthalmicus,"персистирующий epithelial дефект, ассоциированный/связан с herpes zoster ophthalmicus",Cornea & Ocular Surface,differential diagnosis,C2,B,association pattern,persistent epithelial defect,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_5d5b7c1b1dbf,response to bandage contact lens placement in herpes zoster ophthalmicus,ответ на bandage contact хрусталик placement при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,bandage contact lens placement,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_e81fdec10e5d,response to corneal collagen cross-linking in herpes zoster ophthalmicus,ответ на роговичный collagen cross-linking при herpes zoster ophthalmicus,Cornea & Ocular Surface,follow-up,C2,B,outcome pattern,corneal collagen cross-linking,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",outcome
ophc2_54a2a61bca81,pterygium,птеригиум,Cornea & Ocular Surface,core reading,C1,B,noun phrase / diagnostic entity,Degeneration,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",diagnosis
ophc2_41e5993fd8ab,pachymetry,пахиметрия,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_ca4d5397b835,stromal haze,помутнение стромы,Cornea & Ocular Surface,core reading,C1,B,symptom/sign phrase,Signs,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",symptom/sign
ophc2_e04cba2ea501,Schirmer test,тест Ширмера,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_666a67acd0ef,Bowman’s layer,боуменова мембрана,Cornea & Ocular Surface,core reading,C1,B,anatomical noun phrase,Anatomy,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",anatomy
ophc2_edfbfc402b4f,band keratopathy,лентовидная кератопатия,Cornea & Ocular Surface,core reading,C1,B,noun phrase / diagnostic entity,Degeneration,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",diagnosis
ophc2_2e76de4c6a0f,geographic ulcer,географическая язва,Cornea & Ocular Surface,core reading,C1,B,symptom/sign phrase,Signs,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",symptom/sign
ophc2_6062865e8f9a,Descemet’s folds,складки десцеметовой мембраны,Cornea & Ocular Surface,core reading,C1,B,symptom/sign phrase,Signs,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",symptom/sign
ophc2_a6fbc60b2b2a,corneal dystrophy,дистрофия роговицы,Cornea & Ocular Surface,core reading,C1,B,noun phrase / diagnostic entity,Dystrophy,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",diagnosis
ophc2_4416999b6faf,satellite lesions,сателлитные очаги,Cornea & Ocular Surface,core reading,C1,B,symptom/sign phrase,Signs,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",symptom/sign
ophc2_c397589d7411,limbal stem cells,лимбальные стволовые клетки,Cornea & Ocular Surface,core reading,C1,B,anatomical noun phrase,Anatomy,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",anatomy
ophc2_546de15919ef,tear breakup time,время разрыва слезной пленки,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_13f35a0b784e,cycloplegic drops,циклоплегические капли,Cornea & Ocular Surface,core reading,C1,B,management phrase,Treatment,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",management
ophc2_83359ddae457,mild corneal melt,лёгкий роговичный melt,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal melt,cornea_kaufman,The Cornea / cornea and ocular surface texts,finding;modifier
ophc2_64cabae8fe2e,marginal keratitis,краевой кератит,Cornea & Ocular Surface,core reading,C1,B,noun phrase / diagnostic entity,Inflammation,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",diagnosis
ophc2_41a46bcf53a8,corneal tomography,томография роговицы,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_eb82d3af7d5f,focal corneal melt,очаговый роговичный melt,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal melt,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,finding;modifier
ophc2_54c2c0dd27ba,Descemet’s membrane,десцеметова мембрана,Cornea & Ocular Surface,core reading,C1,B,anatomical noun phrase,Anatomy,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",anatomy
ophc2_57b88bc856a3,confocal microscopy,конфокальная микроскопия,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_453ca4578906,severe corneal melt,тяжёлый роговичный melt,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal melt,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",finding;modifier
ophc2_915865a6693a,bandage contact lens,бандажная контактная линза,Cornea & Ocular Surface,core reading,C1,B,management phrase,Procedure,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",management
ophc2_4ad02c75d67e,chronic corneal melt,хронический роговичный melt,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal melt,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,finding;modifier
ophc2_a02f67145d6c,acute corneal oedema,острый роговичный отёк,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal oedema,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,finding;modifier
ophc2_7fc941262082,focal interface haze,очаговый interface haze,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,interface haze,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,finding;modifier
ophc2_c508b2a2676b,moderate corneal melt,умеренный роговичный melt,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal melt,cornea_kaufman,The Cornea / cornea and ocular surface texts,finding;modifier
ophc2_f04f211666e1,severe corneal oedema,тяжёлый роговичный отёк,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal oedema,eeba_guidelines,EEBA Technical Guidelines for Ocular Tissue,finding;modifier
ophc2_d09cc8223a88,severe interface haze,тяжёлый interface haze,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,interface haze,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",finding;modifier
ophc2_731cc9582a0e,mild corneal scarring,лёгкий роговичный scarring,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal scarring,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,finding;modifier
ophc2_e84f91f993ca,interstitial keratitis,интерстициальный кератит,Cornea & Ocular Surface,core reading,C1,B,noun phrase / diagnostic entity,Inflammation,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",diagnosis
ophc2_a075b6a36568,Gram stain and culture,окраска по Граму и посев,Cornea & Ocular Surface,core reading,C1,B,investigation phrase,Testing,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",investigation
ophc2_17ccd9c7b70a,acute corneal thinning,острый роговичный истончение,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal thinning,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",finding;modifier
ophc2_e5f666aa5be3,focal corneal thinning,очаговый роговичный истончение,Cornea & Ocular Surface,clinical description,C1,B,modified noun phrase,corneal thinning,aao_ppp_cornea,AAO PPP Summary Benchmarks: Cornea,finding;modifier
